Country,Firearms,Population,Firearms/100
Nigeria,6154000.00,191836000.00,3.20
Northern Ireland,206000.00,1873000.00,11.00
Northern Mariana Islands,1000.00,56000.00,2.60
Norway,1537000.00,5331000.00,28.80
Oman,792000.00,4741000.00,16.70
Pakistan,43917000.00,196744000.00,22.30
Palau,100.00,22000.00,0.50
Palestinian Territories,56000.00,4952000.00,1.10
Panama,436000.00,4051000.00,10.80
Papua New Guinea,79000.00,7934000.00,1.00
Paraguay,1140000.00,6812000.00,16.70
Peru,633000.00,32166000.00,2.00
Philippines,3776000.00,103797000.00,3.60
Poland,968000.00,38564000.00,2.50
Portugal,2186000.00,10265000.00,21.30
Puerto Rico,422000.00,3679000.00,11.50
Puntland,246000.00,1995000.00,12.30
Qatar,390000.00,2338000.00,16.70
Réunion,171000.00,873000.00,19.60
Romania,506000.00,19238000.00,2.60
Russian Federation,17620000.00,143375000.00,12.30
Rwanda,66000.00,12160000.00,0.50
Saint Kitts and Nevis,2000.00,57000.00,3.40
Saint Lucia,6000.00,188000.00,3.40
Saint Martin (France),3000.00,32000.00,8.50
Saint Vincent and the Grenadines,4000.00,110000.00,3.40
Samoa,20000.00,196000.00,10.10
San Marino,5000.00,32000.00,15.60
São Tomé and Principe,7000.00,198000.00,3.40
Saudi Arabia,12564000.00,32743000.00,53.70
Scotland,305000.00,5436000.00,5.60
Senegal,323000.00,16054000.00,2.00
Serbia,2719000.00,6946000.00,39.10
Seychelles,4000.00,98000.00,4.10
Sierra Leone,35000.00,6733000.00,0.50
Singapore,20000.00,5785000.00,0.30
Sint Maarten (Netherlands),2000.00,40000.00,4.20
Slovakia,355000.00,5432000.00,6.50
Slovenia,324000.00,2071000.00,15.60
Solomon Islands,1000.00,606000.00,0.20
Somalia,1145000.00,9225000.00,12.40
Somaliland,456000.00,3823000.00,11.90
South Africa,5351000.00,55436000.00,9.70
South Sudan,1255000.00,13096000.00,9.60
Spain,3464000.00,46070000.00,7.50
Sri Lanka,494000.00,20905000.00,2.40
Sudan,2768000.00,42166000.00,6.60
Suriname,88000.00,552000.00,15.90
Swaziland,64000.00,1320000.00,4.80
Sweden,2296000.00,9921000.00,23.10
Switzerland,2332000.00,8454000.00,27.60
Syrian Arab Republic,1547000.00,18907000.00,8.20
Taiwan (Rep. of China),10000.00,23405000.00,<0.1
Tajikistan,37000.00,8858000.00,0.40
"Tanzania, United Republic of Africa",427000.00,56878000.00,0.80
Thailand,10342000.00,68298000.00,15.10
Timor-Leste (East Timor),3000.00,1237000.00,0.30
Togo,58000.00,7692000.00,0.80
Tonga,9000.00,108000.00,8.00
Trinidad and Tobago,43000.00,1369000.00,3.20
Tunisia,123000.00,11495000.00,1.10
Turkey,13249000.00,80418000.00,16.50
