,country,self-firearm_number,self-other_number,violence-firearm_number,violence-sharp_number,violence-other_number,police_number,unintentional_number,terrorism_number,self-firearm_perc,self-other_perc,violence-firearm_perc,violence-sharp_perc,violence-other_perc,police_perc,unintentional_perc,terrorism_perc,self-firearm_rate,self-other_rate,violence-firearm_rate,violence-sharp_rate,violence-other_rate,police_rate,unintentional_rate,terrorism_rate,country_code,Firearms,Population,firearm-ownership_rate,hf_score,hf_rank,pf_score,pf_rank,ef_score,ef_rank
0,Afghanistan,187.01882877545162,2908.44454380758,1361.209242146314,1007.2883161119458,8012.530302338934,886.9202776473754,174.94890597896432,38712.783425580004,0.005629889902824216,0.0891474459647475,0.04002644087256609,0.029541641386607816,0.22741963748966929,0.027252303761619908,0.0050117591745690495,1.1830844043082838,4.986790852520836,67.30425988659857,19.603128631363383,15.05062519798278,126.11660229313539,14.57079651690993,3.3714301742533217,652.5176368615878,AFG,4270000.0,34169000.0,12500.0,,,,,,
1,Albania,54.46103328455408,257.35104006299446,83.66017657970032,17.15693936075658,19.251090963594557,0.6519143602305187,7.686850495641293,0.0,0.07371760531310995,0.3014270782921898,0.08663253819357664,0.02171154907947408,0.028233602898496163,0.001002658679207705,0.009259046402788624,0.0,11.493581980718073,56.50541218601634,15.728800556018813,3.4669700702955635,4.486061681614294,0.1451381464099008,1.5901098172981014,0.0,ALB,350000.0,2911000.0,12000.0,7.78,44.0,7.86,47.0,7.7,36.0
2,Algeria,138.02003292663335,2764.7418302033916,276.6085539249518,121.11369233573866,551.0780847548112,71.00559279714636,99.63357105094144,213.99999999999991,0.009413116591299002,0.2049923641912849,0.021346858909374107,0.009306246015238823,0.04101280281653604,0.0040571404085069755,0.006999992270785302,0.016571741776344375,2.6232891938469516,42.464928998901286,3.2268130199039984,1.5493089036034193,6.8583988936585,1.0586402156814987,1.6061906181278411,3.2699861804921335,DZA,877000.0,41064000.0,2100.0,5.03,154.0,5.08,151.0,4.98,157.0
3,American Samoa,0.6453906887641077,7.194841097034512,0.4131700117534175,0.7384253452878172,5.18282574249013,0.012070154628573852,0.175987198143271,0.0,0.017443185438151983,0.2849670619501223,0.011503925078605745,0.023062094484451387,0.16595866398571765,0.0005728240099311914,0.005743525549476436,0.0,6.441144692872987,89.24825940003848,5.41925632455201,6.9810194512896535,55.88471943137484,0.18514947978390411,2.3990681843173522,0.0,ASM,400.0,56000.0,700.0,,,,,,
4,Andorra,0.9646290185466088,14.660086093574089,0.15127838532960242,0.1888570737387761,0.5722900951177516,0.023678681897822594,0.035468925436171694,0.0,0.022900489183789823,0.47065138232479575,0.007766252505351556,0.010654400904461403,0.03669015508100824,0.002404835303209799,0.002066202061435968,0.0,8.776467895962634,112.18179947495025,0.9122254596757954,1.1959145094022081,3.745676370576561,0.1627249269405553,0.2978435141877321,0.0,AND,10000.0,69000.0,14100.0,,,,,,
5,Angola,210.22132230343544,3394.399207639783,306.49101664755574,860.1831961094218,698.1548784622175,27.776246233564024,285.1732285288952,53.99999999999997,0.0087661586961258,0.139909911103113,0.015752497838824243,0.043809833183883914,0.032227604706225876,0.0013935901346820631,0.0118013481814457,0.0027093060395537313,11.91347646138731,228.33893008648718,6.313488854495304,17.426001281480332,13.920111770106596,0.6140384360439759,18.818715813067676,1.2097473473247888,AGO,2982000.0,26656000.0,11200.0,5.39,148.0,5.91,126.0,4.86,159.0
6,Antigua and Barbuda,0.11213103678671221,5.225213727444276,3.585873847705138,1.4252230009069007,3.945120971385055,0.0318056682139116,7.310006773380791,0.0,0.0027525842432504564,0.11863757538317792,0.13289079218541183,0.04418821930853381,0.11730505129837651,0.001291507602668886,0.2056586710994142,0.0,0.9112112980100309,39.245095679312605,18.44622675672864,7.569637312976607,26.714275813986323,0.1964152878102284,53.06167871257373,0.0,ATG,5000.0,94000.0,5400.0,,,,,,
7,Argentina,2377.7495290433676,7579.390064946747,3419.6123116532954,1463.2412897759323,917.476772954016,9.61429345386463,797.283734962129,0.0,0.09862112206039673,0.43538768928395716,0.2016171423133514,0.07953230866774476,0.05318672369027739,0.0008124957830675628,0.043906393605112365,0.0,45.408453354509774,107.3671207010249,40.5050556946255,17.98732708174208,13.797769017192284,0.1331662969241042,12.920770064725716,0.0,ARG,3256000.0,44272000.0,7400.0,7.16,64.0,8.34,39.0,5.98,133.0
8,Armenia,29.98782054568771,547.7551576384108,40.57191833891668,49.4573241452745,217.3061270164528,0.6696878592590262,29.679775359124083,0.0,0.021796923228207,0.3214710976819409,0.037511893149111,0.03908357406251601,0.16441147763321168,0.0011587570941902754,0.0213665802724801,0.0,8.403013208723857,152.43489583083198,7.531902995550669,10.485244587418737,42.82562294953705,0.1378753988255535,9.041392458900651,0.0,ARM,186000.0,3032000.0,6100.0,7.6,50.0,7.34,68.0,7.85,21.0
9,Australia,353.37132149817216,5361.573463682507,89.34757015120763,235.63833319759252,305.7387370537414,14.347120964006953,19.743721333311093,0.0,0.034246170645860066,0.9005833142251947,0.017708255445079958,0.05066631996744764,0.07092502096401017,0.0032117228313145855,0.004102596940243,0.0,10.244178626208726,122.21360597648169,1.8224547951027532,4.902674800747389,7.188258784684918,0.3203350763637574,0.5334881965964091,0.0,AUS,3573000.0,24642000.0,14500.0,8.66,6.0,9.13,11.0,8.18,7.0
